data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
rician,250,75.0,legacy_T100,100,1000,6897913.068371403,0.9281474315824748,0.85101092693691,7.185256841752527,0.01
rician,250,75.0,legacy_T25,25,1000,6550914.76437488,0.8809845865060606,0.7731886111882253,11.901541349393927,0.002
rician,250,75.0,legacy_T50,50,1000,6939292.155268139,0.9330012263449649,0.8507922258091167,6.699877365503517,0.012
rician,500,50.0,T_0p05N,50,1000,62283775.022376426,0.941094524040923,0.8760060033024896,5.890547595907707,0.006
rician,500,50.0,T_0p075N,75,1000,63808314.977408506,0.9642095002969417,0.919426177241423,3.5790499703058285,0.02
rician,500,50.0,T_0p10K,50,1000,62283775.022376426,0.941094524040923,0.8760060033024896,5.890547595907707,0.006
rician,500,50.0,T_0p10N,100,1000,63690201.49436455,0.96265902644366,0.9187862466792466,3.7340973556340082,0.01
rician,500,50.0,T_0p20K,100,1000,63690201.49436455,0.96265902644366,0.9187862466792466,3.7340973556340082,0.01
rician,500,50.0,legacy_T100,100,1000,63690201.49436455,0.96265902644366,0.9187862466792466,3.7340973556340082,0.01
rician,500,50.0,legacy_T25,25,1000,57319706.20368269,0.8658505893842737,0.7811165509713945,13.41494106157264,0.0
rician,500,50.0,legacy_T50,50,1000,62283775.022376426,0.941094524040923,0.8760060033024896,5.890547595907707,0.006
nakagami,250,75.0,T_0p05N,50,1000,26543386.36659676,0.9699786144454579,0.9331234598610149,3.0021385554542115,0.015
nakagami,250,75.0,T_0p075N,75,1000,25866461.83586834,0.9461546212024534,0.8964218435286843,5.384537879754648,0.002
nakagami,250,75.0,T_0p10K,25,1000,25992824.535951678,0.9491398193055319,0.8797424951742585,5.086018069446811,0.016
nakagami,250,75.0,T_0p10N,100,1000,24811000.021257676,0.9079619928902203,0.8509865757243302,9.203800710977982,0.0
nakagami,250,75.0,T_0p20K,50,1000,26543386.36659676,0.9699786144454579,0.9331234598610149,3.0021385554542115,0.015
nakagami,250,75.0,legacy_T100,100,1000,24811000.021257676,0.9079619928902203,0.8509865757243302,9.203800710977982,0.0
nakagami,250,75.0,legacy_T25,25,1000,25992824.535951678,0.9491398193055319,0.8797424951742585,5.086018069446811,0.016
nakagami,250,75.0,legacy_T50,50,1000,26543386.36659676,0.9699786144454579,0.9331234598610149,3.0021385554542115,0.015
nakagami,500,50.0,T_0p05N,50,1000,216602180.3934912,0.970213998346583,0.9324200824378733,2.9786001653417005,0.025
nakagami,500,50.0,T_0p075N,75,1000,216323071.0387196,0.9696889369432096,0.9360937242614813,3.031106305679047,0.012
nakagami,500,50.0,T_0p10K,50,1000,216602180.3934912,0.970213998346583,0.9324200824378733,2.9786001653417005,0.025
nakagami,500,50.0,T_0p10N,100,1000,211064749.5124177,0.9464894824985134,0.8997756674043141,5.351051750148648,0.001
